Nodes;Addjested Nodes
392977639;{1276802001,392977641,}
392977641;{392977639,1276802020,}
392977644;{1276802020,392977645,}
392977645;{392977644,392977646,}
392977646;{392977645,392977618,}
392977648;{392977651,392977661,}
392977651;{392977652,392977648,}
392977652;{392977654,392977651,}
392977654;{392977652,392977589,1365701414,}
392977655;{392977657,1364568644,392977543,}
392977657;{392977659,392977655,}
392977659;{392977661,392977657,392977558,}
392977661;{392977648,392977659,}
392977674;{1256389783,1256389751,}
392977678;{1364568635,2186822517,}
392977680;{392977681,392977209,392977536,}
392977681;{392977680,2186822517,1364568521,}
392977684;{1364568639,}
392977687;{1256389864,392977689,}
392977689;{1256389873,392977687,}
392977696;{1258206167,}
392977700;{1258206238,1278217581,}
392977703;{1346788556,1346788718,1346788573,1346788551,}
392977751;{392977161,392977752,}
392977752;{392977751,392977217,}
392977766;{1276802100,521469759,}
392977770;{521469759,392977165,392978220,}
392977772;{1274489116,392977774,}
392977774;{392977772,521311920,}
392977778;{392977782,392977632,}
392977782;{392977778,1274489186,}
392977838;{1274488801,392977839,1274489080,392977941,}
392977839;{392977838,392977842,392977936,392977850,}
392977842;{1360710962,392977851,392977839,521469722,}
392977844;{392977928,392977845,}
392977845;{392977844,392977941,}
392977850;{1274488780,392978229,392977839,392978226,}
392977851;{392977842,392978229,}
392977853;{392978022,392977882,392977877,1358033830,}
392977866;{392977944,392977868,}
392977868;{392977928,392977866,392977953,1360710159,}
392977877;{392977853,430034249,1358033796,}
392977880;{1276802029,1276801909,392977905,}
392977881;{1276802064,1276802029,}
392977882;{392977853,1274489008,}
392977883;{392977893,392977884,1358033845,}
392977884;{1360709790,392977883,}
392977885;{1360709790,2544900545,1270373916,}
392977889;{392977905,1274489008,392977905,1358033845,1274489008,}
392977890;{392977891,392977928,}
392977891;{392977892,392977890,}
392977892;{1360710219,392977891,1274488897,}
392977893;{392977883,1360710219,}
392977896;{392977900,392977902,392977899,}
392977897;{392977921,1274488965,1276802100,}
392977898;{392977899,}
392977899;{392977898,392977896,}
392977900;{1276801909,392977896,}
392977902;{392977896,392977913,}
392977905;{1274489008,392977889,392977880,392977889,}
392977909;{1358033852,1276802039,}
392977913;{392977902,1358033852,}
392977917;{521311920,521469784,392978220,}
392977921;{1276801908,392977897,1276801891,}
392977924;{1360710884,1360710713,1256647803,}
